group,response,degree,tc_c,beta0,beta1,beta2,r2,rmse_loo,range_min,range_max
A13,X_EtOH,2,325.0000000000,8.2405042755,12.4808807036,5.6139038659,0.9965077721,4.1050425917,1.3036176477,39.5931090291
A13,S_C4,1,325.0000000000,17.0117241379,8.1386206897,,0.9767739013,2.6015233170,4.8037931034,29.2196551724
A13,S_C4,2,325.0000000000,17.8435820896,8.1623880597,-0.6892537313,0.9816574727,5.6908904352,4.0491791045,28.5363432836
A14,X_EtOH,1,325.0000000000,22.4844565883,16.7955674916,,0.9291052482,11.0354733135,-2.7088946492,47.6778078257
A14,X_EtOH,2,325.0000000000,15.9135538581,16.6078274136,5.4444622621,0.9971621841,4.7545935995,3.2518528275,53.0753350684
A14,S_C4,1,325.0000000000,9.6122413793,6.8812068966,,0.9199695105,4.6474351524,-0.7095689655,19.9340517241
A14,S_C4,2,325.0000000000,6.6882835821,6.7976652452,2.4227078891,0.9994632943,0.4223474659,1.9200421322,22.3358742004
B1,X_EtOH,1,325.0000000000,17.6856179123,13.9735610460,,0.9255646379,9.3370418898,-3.2747236566,38.6459594813
B1,X_EtOH,2,325.0000000000,12.0007899818,13.8111373908,4.7102859996,0.9988764535,2.5128033946,1.8768219834,43.3156395670
B1,S_C4,1,325.0000000000,21.1770689655,11.9853448276,,0.9717655227,4.3985372873,3.1990517241,39.1550862069
B1,S_C4,2,325.0000000000,18.3754477612,11.9052985075,2.3213432836,0.9971767720,3.3409162164,5.7405223881,41.4564179104
B2,X_EtOH,1,325.0000000000,17.6691900342,13.6344310046,,0.8635338695,12.8760693070,-2.7824564727,38.1208365411
B2,X_EtOH,2,325.0000000000,10.0883861911,13.4178366091,6.2812374700,0.9912902574,7.0686344571,2.9226669006,44.3479254122
B2,S_C4,1,325.0000000000,18.2672413793,12.2062068966,,0.9697964468,4.7257485948,-0.0420689655,36.5765517241
B2,S_C4,2,325.0000000000,15.2723880597,12.1206396588,2.4814498934,0.9977358429,3.0347394586,2.6746908316,39.0366098081
B3,X_EtOH,1,325.0000000000,6.5200254725,6.5655895346,,0.7923584662,6.7442611152,-3.3283588294,16.3684097744
B3,X_EtOH,2,325.0000000000,3.0506955835,6.5655895346,3.4693298889,0.9914752878,3.0544994035,-0.0555826468,20.7050721356
B3,S_C4,1,325.0000000000,10.7631428571,6.0088571429,,0.9427780123,2.3975231284,1.7498571429,19.7764285714
B3,S_C4,2,325.0000000000,9.5688571429,6.0088571429,1.1942857143,0.9762965197,1.6326167222,3.2427142857,21.2692857143
B4,X_EtOH,1,325.0000000000,10.7080288016,10.3879130068,,0.8087207023,10.1814119557,-4.8738407086,26.2898983118
B4,X_EtOH,2,325.0000000000,5.5664980055,10.3879130068,5.1415307961,0.9870280932,5.8709156310,0.3196060415,32.7168118069
B4,S_C4,1,325.0000000000,11.0477142857,5.1162857143,,0.8010277120,4.5833951002,3.3732857143,18.7221428571
B4,S_C4,2,325.0000000000,8.5439047619,5.1162857143,2.5038095238,0.9736842570,3.0610553662,5.9302567619,21.8519047619
B5,X_EtOH,1,325.0000000000,15.9960327271,13.5798307749,,0.8324871100,12.2073809066,-4.3737134353,36.3657788894
B5,X_EtOH,2,325.0000000000,9.7411585652,13.5798307749,6.2548741619,0.9914400133,6.2108878624,2.3704359107,44.1843715917
B5,S_C4,1,325.0000000000,12.9081428571,7.3088571429,,0.9557394839,3.1077522357,1.9448571429,23.8714285714
B5,S_C4,2,325.0000000000,11.2838571429,7.3088571429,1.6242857143,0.9982217759,0.8596466577,3.9752142857,25.9017857143
B6,X_EtOH,1,325.0000000000,24.7030904466,19.1857172668,,0.8834258401,13.7728452042,-4.0754854537,53.4816663468
B6,X_EtOH,2,325.0000000000,17.6706818820,19.1857172668,7.0324085646,0.9902488266,7.9479048128,4.5851622778,62.2721770526
B6,S_C4,1,325.0000000000,16.0874285714,9.5145714286,,0.9645566159,2.7777975597,1.8155714286,30.3592857143
B6,S_C4,2,325.0000000000,15.2721904762,9.5145714286,0.8152380952,0.9709298622,7.1452649370,2.8346190476,31.3783333333
B7,X_EtOH,1,325.0000000000,27.0642857143,20.9857142857,,0.8763216534,15.6203163388,-4.4142857143,58.5428571429
B7,X_EtOH,2,325.0000000000,18.8690476190,20.9857142857,8.1952380952,0.9965984055,5.1711498705,5.4344560190,68.7869047619
B7,S_C4,1,325.0000000000,19.4854285714,11.6825714286,,0.9888247384,2.3090453640,1.9615714286,37.0092857143
B7,S_C4,2,325.0000000000,18.3559047619,11.6825714286,1.1295238095,0.9971438264,2.2623410659,3.3734761905,38.4211904762
